id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SER432,SER389,Pipework accessories & fittings; Cast Iron; Ensign; 250mm dia; bend,nr,Services,Plumbing Works,279.0,Services!I541,279.0,Services!A541,Services,"250mm,pipe,plumbing_works"
SER433,SER390,Pipework accessories & fittings; Cast Iron; Ensign; 250mm dia; rocker,nr,Services,Plumbing Works,200.19,Services!I542,200.19,Services!A542,Services,"250mm,pipe,plumbing_works"
SER434,SER391,Pipework accessories & fittings; Cast Iron; Ensign; 250 x 250 branch,item,Services,Plumbing Works,533.29,Services!I543,533.29,Services!A543,Services,"pipe,plumbing_works"
SER435,SER392,"Composite all in rates; 0.50m deep trench b/fill wi SEM, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,48.42,Services!I546,48.42,Services!A546,Services,"pvc,general_services"
SER436,SER393,"Composite all in rates; 0.75m deep trench b/fill wi SEM, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,53.02,Services!I547,53.02,Services!A547,Services,"pvc,general_services"
SER437,SER394,"Composite all in rates; 1.0m deep trench b/fill wi SEM, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,57.63,Services!I548,57.63,Services!A548,Services,"pvc,general_services"
SER438,SER395,"Composite all in rates; 0.50m deep trench b/fill wi 6F2, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,54.4,Services!I549,54.4,Services!A549,Services,"pvc,general_services"
SER439,SER396,"Composite all in rates; 0.75m deep trench b/fill wi 6F2, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,68.97,Services!I550,68.97,Services!A550,Services,"pvc,general_services"
SER440,SER397,"Composite all in rates; 1.0m deep trench b/fill wi 6F2, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,83.55,Services!I551,83.55,Services!A551,Services,"pvc,general_services"
SER441,SER398,"Composite all in rates; 0.75m deep trench b/fill wi SEM, pipe ne 100 dia by others, sand B&S & warning tape",m,Services,Plumbing Works,43.24,Services!I553,43.24,Services!A553,Services,"pipe,plumbing_works"
SER442,SER399,"Composite all in rates; 1.0m deep trench b/fill wi SEM, pipe ne 100 dia by others, sand B&S & warning tape",m,Services,Plumbing Works,47.84,Services!I554,47.84,Services!A554,Services,"pipe,plumbing_works"
SER443,SER400,"Composite all in rates; 0.75m deep trench b/fill wi 6F2, pipe ne 100 dia by others, sand B&S & warning tape",m,Services,Plumbing Works,59.19,Services!I555,59.19,Services!A555,Services,"pipe,plumbing_works"
SER444,SER401,"Composite all in rates; 1.00m deep trench b/fill wi 6F2, pipe ne 100 dia by others, sand B&S & warning tape",m,Services,Plumbing Works,73.76,Services!I556,73.76,Services!A556,Services,"pipe,plumbing_works"
SER445,SER392,"Draw pits, chambers, inspection pits, etc; ne",m,Services,General Services,176.45,Services!I560,176.45,Services!A560,Services,general_services
SER446,SER393,"Draw pits, chambers, inspection pits, etc; ne",m,Services,General Services,88.31,Services!I568,88.31,Services!A568,Services,general_services
SER447,SER394,"Draw pits, chambers, inspection pits, etc; 0.5",m,Services,General Services,113.41,Services!I569,113.41,Services!A569,Services,general_services
SER448,SER395,"Draw pits, chambers, inspection pits, etc; 0.75",m,Services,General Services,138.51,Services!I570,138.51,Services!A570,Services,general_services
SER449,SER396,"Draw pits, chambers, inspection pits, etc; ne",m,Services,General Services,140.36,Services!I574,140.36,Services!A574,Services,general_services
SER450,SER397,"Draw pits, chambers, inspection pits, etc; ne",item,Services,General Services,154.39,Services!I576,154.39,Services!A576,Services,general_services
SER451,SER398,"Draw pits, chambers, inspection pits, etc; 100",item,Services,General Services,177.99,Services!I577,177.99,Services!A577,Services,general_services
SER452,SER399,"Draw pits, chambers, inspection pits, etc; 150",item,Services,General Services,231.09,Services!I578,231.09,Services!A578,Services,general_services
SER453,SER400,"Draw pits, chambers, inspection pits, etc; 200",item,Services,General Services,284.19,Services!I579,284.19,Services!A579,Services,general_services
SER454,SER401,"Draw pits, chambers, inspection pits, etc; Instal only Lighting Bollard",nr,Services,General Services,100.32,Services!I581,100.32,Services!A581,Services,"light,general_services"
SER455,SER402,"Draw pits, chambers, inspection pits, etc; Instal only Lamp column",item,Services,General Services,237.02,Services!I582,237.02,Services!A582,Services,general_services
SER456,SER403,"Draw pits, chambers, inspection pits, etc; Instal only Feeder Pillars",item,Services,General Services,238.13,Services!I583,238.13,Services!A583,Services,general_services
SER457,SER404,"Draw pits, chambers, inspection pits, etc; Temporary marker posts",item,Services,General Services,71.47,Services!I584,71.47,Services!A584,Services,general_services
SER458,SER405,"Draw pits, chambers, inspection pits, etc; 900",item,Services,General Services,114.08,Services!I586,114.08,Services!A586,Services,general_services
SER459,SER406,"Draw pits, chambers, inspection pits, etc; ne",m,Services,General Services,315.11,Services!I589,315.11,Services!A589,Services,general_services
SER460,SER407,"Draw pits, chambers, inspection pits, etc; 0.5",m,Services,General Services,376.15,Services!I590,376.15,Services!A590,Services,general_services
SER461,SER408,"Draw pits, chambers, inspection pits, etc; 0.75",m,Services,General Services,437.19,Services!I591,437.19,Services!A591,Services,general_services
SER462,SER409,"Draw pits, chambers, inspection pits, etc; 1",m,Services,General Services,498.23,Services!I592,498.23,Services!A592,Services,general_services
SER463,SER410,"Draw pits, chambers, inspection pits, etc; 1.25",m,Services,General Services,559.27,Services!I593,559.27,Services!A593,Services,general_services
SER464,SER411,"Draw pits, chambers, inspection pits, etc; 1.5",m,Services,General Services,620.31,Services!I594,620.31,Services!A594,Services,general_services
SER465,SER412,"Draw pits, chambers, inspection pits, etc; 1.75",m,Services,General Services,681.34,Services!I595,681.34,Services!A595,Services,general_services
SER466,SER413,"Draw pits, chambers, inspection pits, etc; EO for B125 cover & frame",item,Services,General Services,21.83,Services!I596,21.83,Services!A596,Services,general_services
SER467,SER414,"Draw pits, chambers, inspection pits, etc; 0.5",m,Services,General Services,406.82,Services!I598,406.82,Services!A598,Services,general_services
SER468,SER415,"Draw pits, chambers, inspection pits, etc; 0.75",m,Services,General Services,472.44,Services!I599,472.44,Services!A599,Services,general_services
SER469,SER416,"Draw pits, chambers, inspection pits, etc; 1",m,Services,General Services,538.05,Services!I600,538.05,Services!A600,Services,general_services
SER470,SER417,"Draw pits, chambers, inspection pits, etc; 1.25",m,Services,General Services,603.66,Services!I601,603.66,Services!A601,Services,general_services
SER471,SER418,"Draw pits, chambers, inspection pits, etc; EO for C250 cover & frame",item,Services,General Services,53.1,Services!I602,53.1,Services!A602,Services,general_services
SER472,SER419,"Draw pits, chambers, inspection pits, etc; EO for D400 cover & frame",item,Services,General Services,112.1,Services!I603,112.1,Services!A603,Services,general_services
SER473,SER419,"Draw pits, chambers, inspection pits, etc; 0.5",m,Services,General Services,274.26,Services!I605,274.26,Services!A605,Services,general_services
SER474,SER420,"Draw pits, chambers, inspection pits, etc; 0.75",m,Services,General Services,322.02,Services!I606,322.02,Services!A606,Services,general_services
SER475,SER421,"Draw pits, chambers, inspection pits, etc; 1",m,Services,General Services,369.79,Services!I607,369.79,Services!A607,Services,general_services
SER476,SER422,"Draw pits, chambers, inspection pits, etc; 1.25",m,Services,General Services,417.55,Services!I608,417.55,Services!A608,Services,general_services
SER477,SER423,"Draw pits, chambers, inspection pits, etc; 0.5",m,Services,General Services,508.53,Services!I610,508.53,Services!A610,Services,general_services
SER478,SER424,"Draw pits, chambers, inspection pits, etc; 0.75",m,Services,General Services,590.55,Services!I611,590.55,Services!A611,Services,general_services
SER479,SER425,"Draw pits, chambers, inspection pits, etc; 1",m,Services,General Services,672.56,Services!I612,672.56,Services!A612,Services,general_services
