id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
71,7,Excavate underpinning trench (by hand); not exceeding 3m dp,m3,Underpinning,Plain Concrete FND2,101.55,Underpinning!E105,101.55,Underpinning!A105,Underpinning,"3m,underpinning,trench"
72,8,Excavate underpinning trench (by hand); not exceeding 4m dp,m3,Underpinning,Plain Concrete FND2,131.18,Underpinning!E106,131.18,Underpinning!A106,Underpinning,"4m,underpinning,trench"
73,9,Excavate underpinning trench (by hand); not exceeding 6m dp,m3,Underpinning,Plain Concrete FND2,177.26,Underpinning!E107,177.26,Underpinning!A107,Underpinning,"6m,underpinning,trench"
74,10,EO excs for break out brickwork/rock obstructions (prov),m3,Underpinning,Plain Concrete FND2,143.72,Underpinning!E108,143.72,Underpinning!A108,Underpinning,
75,11,EO excs for break out concrete obstructions (prov),m3,Underpinning,Plain Concrete FND2,213.48,Underpinning!E109,213.48,Underpinning!A109,Underpinning,concrete
76,12,EO excs for break out reinfd concrete obstructions (prov),m3,Underpinning,Plain Concrete FND2,283.23,Underpinning!E110,283.23,Underpinning!A110,Underpinning,concrete
77,13,EO excs for break out concrete slab; 150mm thk,m2,Underpinning,Plain Concrete FND2,19.29,Underpinning!E111,19.29,Underpinning!A111,Underpinning,"150mm,concrete"
78,14,EO excs for exc below grd water level (prov),m3,Underpinning,Plain Concrete FND2,116.33,Underpinning!E112,116.33,Underpinning!A112,Underpinning,
79,15,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Plain Concrete FND2,69.61,Underpinning!E114,69.61,Underpinning!A114,Underpinning,excavation
80,16,Sidecast & stockpile,m3,Underpinning,Plain Concrete FND2,16.75,Underpinning!E115,16.75,Underpinning!A115,Underpinning,
81,17,Cut off projecting brick corbelled foundation; not exceeding 300 x 300,m,Underpinning,Plain Concrete FND2,45.95,Underpinning!E116,45.95,Underpinning!A116,Underpinning,foundation
82,18,Clean off face of brickwork,m2,Underpinning,Plain Concrete FND2,6.49,Underpinning!E117,6.49,Underpinning!A117,Underpinning,
83,19,Level & compact bottom of excavation,m2,Underpinning,Plain Concrete FND2,7.5,Underpinning!E118,7.5,Underpinning!A118,Underpinning,excavation
84,20,EWS; not exceeding 1m,m2,Underpinning,Plain Concrete FND2,15.01,Underpinning!E119,15.01,Underpinning!A119,Underpinning,1m
85,21,EWS; not exceeding 2m,m2,Underpinning,Plain Concrete FND2,31.2,Underpinning!E120,31.2,Underpinning!A120,Underpinning,2m
86,22,EWS; not exceeding 3m,m2,Underpinning,Plain Concrete FND2,47.99,Underpinning!E121,47.99,Underpinning!A121,Underpinning,3m
87,23,EWS; not exceeding 4m,m2,Underpinning,Plain Concrete FND2,69.49,Underpinning!E122,69.49,Underpinning!A122,Underpinning,4m
88,24,EWS; not exceeding 6m,m2,Underpinning,Plain Concrete FND2,104.23,Underpinning!E123,104.23,Underpinning!A123,Underpinning,6m
89,25,EO for left in,m2,Underpinning,Plain Concrete FND2,16.48,Underpinning!E124,16.48,Underpinning!A124,Underpinning,
