id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SV0260,542,542,Main channel; 300 dia,item,Services,General Services,Services Works,,,,A745,Services,general_services
SV0261,543,543,Main channel; 450 dia,item,Services,General Services,Services Works,,,,A746,Services,general_services
SV0262,544,544,Branch bends; 100 dia,item,Services,General Services,Services Works,,,,A747,Services,general_services
SV0263,545,545,Branch bends; 150 dia,item,Services,General Services,Services Works,,,,A748,Services,general_services
SV0264,546,546,Branch bends; 225 dia,item,Services,General Services,Services Works,,,,A749,Services,general_services
SV0265,547,547,Brickwork; engineering bricks; 1B thick in c.m.,kw,Services,General Services,Services Works,,,,A750,Services,general_services
SV0266,548,548,Watertight conc in in-situ walls; C40 Pudlo,item,Services,Plumbing Works,Services Works,,,,A751,Services,plumbing_works
SV0267,549,549,Formwork to MH walls,item,Services,General Services,Services Works,,,,A752,Services,general_services
SV0268,550,550,Reinforcement; in walls; allow 200kg/m3,item,Services,General Services,Services Works,,,,A753,Services,general_services
SV0269,551,551,Watertight concrete in cover slab; C40 Pudlo,item,Services,Plumbing Works,Services Works,,,,A754,Services,plumbing_works
SV0270,552,552,Formwork to soffit of cover slab,item,Services,General Services,Services Works,,,,A755,Services,general_services
SV0271,553,553,Form opening in slab; slab 250-500; opening 2-3m gth,item,Services,General Services,Services Works,,,,A756,Services,general_services
SV0272,554,554,Form rebate to suit C&F; 2-3m girth,item,Services,General Services,Services Works,,,,A757,Services,general_services
SV0273,555,555,Build in ends of pipe; 100 dia,m,Services,Plumbing Works,Services Works,,,,A758,Services,pipe|plumbing_works
SV0274,556,556,Build in ends of pipe; 150 dia,m,Services,Plumbing Works,Services Works,,,,A759,Services,pipe|plumbing_works
SV0275,557,557,Build in ends of pipe; 225 dia,m,Services,Plumbing Works,Services Works,,,,A760,Services,pipe|plumbing_works
SV0276,558,558,Build in ends of pipe; 300 dia,m,Services,Plumbing Works,Services Works,,,,A761,Services,pipe|plumbing_works
SV0277,559,559,Build in ends of pipe; 450 dia,m,Services,Plumbing Works,Services Works,,,,A762,Services,pipe|plumbing_works
SV0278,560,560,Step irons; built into brickwork,kw,Services,General Services,Services Works,,,,A763,Services,general_services
SV0279,561,561,Step irons; built into pre-cast manhole sections,item,Services,General Services,Services Works,,,,A764,Services,general_services
SV0280,562,562,EO for steel ladder in lieu of step irons,item,Services,General Services,Services Works,,,,A765,Services,steel|general_services
SV0281,563,563,Concrete surround; 150-450mm thk,item,Services,General Services,Services Works,,,,A766,Services,general_services
SV0282,564,564,Formwork; to concrete surround; curved,item,Services,General Services,Services Works,,,,A767,Services,general_services
SV0283,565,565,Fill with SEM,item,Services,General Services,Services Works,,,,A768,Services,general_services
