id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
DR_0065_Drainage,DR0065,68,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,Drainage Works,27.77,Drainage!O92,27.77,Drainage!A92,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0066_Drainage,DR0066,69,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,Drainage Works,42.22,Drainage!O93,42.22,Drainage!A93,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0067_Drainage,DR0067,70,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,Drainage Works,49.57,Drainage!O94,49.57,Drainage!A94,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0068_Drainage,DR0068,71,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,Drainage Works,68.76,Drainage!O95,68.76,Drainage!A95,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0069_Drainage,DR0069,72,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,Drainage Works,76.35,Drainage!O96,76.35,Drainage!A96,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0070_Drainage,DR0070,73,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,Drainage Works,103.46,Drainage!O97,103.46,Drainage!A97,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0071_Drainage,DR0071,74,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,Drainage Works,112.63,Drainage!O98,112.63,Drainage!A98,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0072_Drainage,DR0072,75,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.5 - 2.75 m,m,Drainage,Pipework,Drainage Works,125.26,Drainage!O99,125.26,Drainage!A99,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0073_Drainage,DR0073,76,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.75 - 3 m,m,Drainage,Pipework,Drainage Works,134.82,Drainage!O100,134.82,Drainage!A100,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0074_Drainage,DR0074,77,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3 - 3.25 m,m,Drainage,Pipework,Drainage Works,252.06,Drainage!O101,252.06,Drainage!A101,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
